"filename", "language", "Python", "pip requirements", "Ini", "comment", "blank", "total"
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/8a8d8b0220ac_.py", "Python", 17, 0, 0, 5, 11, 33
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/8c2486640fd3_.py", "Python", 21, 0, 0, 5, 13, 39
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/9402fc9cf2b2_.py", "Python", 51, 0, 0, 5, 9, 65
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/9c7833a99288_.py", "Python", 17, 0, 0, 5, 11, 33
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/b181e191204f_.py", "Python", 112, 0, 0, 5, 9, 126
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/b7f83ec6f8f2_.py", "Python", 24, 0, 0, 5, 9, 38
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/ba8819a34f40_.py", "Python", 17, 0, 0, 5, 11, 33
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/c1a09d011674_.py", "Python", 30, 0, 0, 5, 10, 45
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/f0919ba3c71b_.py", "Python", 26, 0, 0, 5, 12, 43
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/f396a58e8fdd_.py", "Python", 17, 0, 0, 5, 11, 33
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/ffbba5ee324c_check_constrainst.py", "Python", 37, 0, 0, 8, 13, 58
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/openapi.py", "Python", 222, 0, 0, 18, 44, 284
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/rag.py", "Python", 87, 0, 0, 1, 22, 110
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/requirements.txt", "pip requirements", 0, 51, 0, 0, 1, 52
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/roles.py", "Python", 16, 0, 0, 1, 9, 26
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/admin_routes.py", "Python", 18, 0, 0, 1, 5, 24
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/auth_routes.py", "Python", 107, 0, 0, 47, 27, 181
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/chat_routes.py", "Python", 119, 0, 0, 4, 23, 146
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/feedback_routes.py", "Python", 54, 0, 0, 2, 15, 71
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/graph_routes.py", "Python", 57, 0, 0, 0, 8, 65
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/library_routes.py", "Python", 282, 0, 0, 58, 80, 420
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/profile_routes.py", "Python", 43, 0, 0, 22, 14, 79
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/utility_routes.py", "Python", 30, 0, 0, 1, 9, 40
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/services/vision_api.py", "Python", 0, 0, 0, 1, 0, 1
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/stats.py", "Python", 121, 0, 0, 7, 30, 158
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/system_guide.py", "Python", 113, 0, 0, 3, 19, 135
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/test.py", "Python", 3, 0, 0, 9, 2, 14
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/testEmbed.py", "Python", 185, 0, 0, 76, 59, 320
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/utils.py", "Python", 41, 0, 0, 10, 11, 62
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/vector_processing/embedding_service.py", "Python", 88, 0, 0, 8, 14, 110
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/vector_processing/file_handler.py", "Python", 40, 0, 0, 3, 6, 49
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/vector_processing/file_processing.py", "Python", 25, 0, 0, 3, 8, 36
"/Users/willgunter/projects/Gamefied-Study-Tool/backend/vector_processing/retrieval.py", "Python", 45, 0, 0, 1, 9, 55
"Total", "-", 5076, 51, 38, 795, 1303, 7263
